method,silhouette,NMI,ARI,purity
BASELINE: PCA+KMeans,0.10029257833957672,0.11713684262184682,0.07952225848597938,0.31142857142857144
BASELINE: AE+KMeans,0.11068462580442429,0.14170705459842442,0.09761848551300022,0.34714285714285714
BASELINE: DirectSpectral(KMeans),0.1526414304971695,0.2193579644118087,0.11853284078762419,0.3942857142857143
MODEL: CVAE(beta)+KMeans,0.523955762386322,0.3740757049754736,0.15887032745840246,0.39
