method,embedding,clusterer,n_clusters,n_noise,silhouette,davies_bouldin,ARI
BASELINE,PCA(16) on [audio_pool + lyrics_embed],KMeans,7,0,0.10029255598783493,2.6114565126850238,0.07952225848597938
VAE,latent_dim=16,KMeans,7,0,0.35976675152778625,0.9368352745056718,0.17062535005685772
VAE,latent_dim=16,Agglomerative(ward),7,0,0.36444494128227234,0.888918109943817,0.1515341805445723
VAE,latent_dim=16,"DBSCAN(eps=0.8,min=10)",4,198,0.11287722736597061,1.8234003995298458,0.04100060525831739
